strategy,model,fit_rows,selected_feature_count,cv_macro_f1_mean,cv_macro_f1_std,spatial_cv_macro_f1_mean,spatial_cv_macro_f1_std,train_time_sec,test_time_sec,accuracy,kappa,f1_macro,weighted_f1,calibration_macro_f1,calibration_notes,context_enabled,component_cleanup_enabled,test_las,confusion_matrix_png,top_view_png,side_view_png
KitchenSinkGroundSpatialCleanup,ExtraTreesSoftVoteTunedContextKNNComponentClean,148092,64,0.9606483455287731,0.002824343952395319,0.8966699568818827,0.024108497338562622,241.58515450000414,4.53645780000079,0.8929932986274366,0.8072923824153906,0.7437039213742829,0.8962654270620998,0.9639773344183749,"{'k': 8, 'alpha': 0.2, 'spatial_columns': ('x', 'y', 'z'), 'spatial_scales': (1.0, 1.0, 2.0), 'distance_weights': True}",True,True,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_ExtraTreesSoftVoteTunedContextKNNComponentClean.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesSoftVoteTunedContextKNNComponentClean_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesSoftVoteTunedContextKNNComponentClean_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesSoftVoteTunedContextKNNComponentClean_side.png
KitchenSinkGroundSpatialCleanup,ExtraTreesRegularizedContextKNNComponentClean,148092,64,0.956987965555094,0.0028660489736427293,0.8884134488637145,0.02338699109990887,18.896894699995755,1.8812944999954198,0.8948399997734109,0.810146063296964,0.739252492742402,0.8978096648276526,0.9576620554179515,"{'k': 32, 'alpha': 0.2, 'spatial_columns': ('x', 'y', 'z'), 'spatial_scales': (1.0, 1.0, 2.0), 'distance_weights': True}",True,True,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_ExtraTreesRegularizedContextKNNComponentClean.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesRegularizedContextKNNComponentClean_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesRegularizedContextKNNComponentClean_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesRegularizedContextKNNComponentClean_side.png
KitchenSinkGroundSpatialCleanup,ExtraTreesRegularizedComponentClean,148092,64,0.956987965555094,0.0028660489736427293,0.8884134488637145,0.02338699109990887,18.896894699995755,1.4938008000026457,0.8935994244636919,0.8081463851637186,0.7387591793343864,0.8967391259369911,,,False,True,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_ExtraTreesRegularizedComponentClean.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesRegularizedComponentClean_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesRegularizedComponentClean_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesRegularizedComponentClean_side.png
KitchenSinkGroundSpatialCleanup,ExtraTreesConservativeContextKNNComponentClean,148092,64,0.9537308450911964,0.0020366321089072,0.8973385477577919,0.021557123816682282,33.29545259999577,1.768863399993279,0.8935371124618339,0.8084590735055787,0.7379210682807874,0.8969106544621864,0.9563943892003176,"{'k': 8, 'alpha': 0.35, 'spatial_columns': ('x', 'y', 'z'), 'spatial_scales': (1.0, 1.0, 2.0), 'distance_weights': True}",True,True,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_ExtraTreesConservativeContextKNNComponentClean.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesConservativeContextKNNComponentClean_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesConservativeContextKNNComponentClean_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesConservativeContextKNNComponentClean_side.png
KitchenSinkGroundSpatialCleanup,ExtraTreesConservativeComponentClean,148092,64,0.9537308450911964,0.0020366321089072,0.8973385477577919,0.021557123816682282,33.29545259999577,1.6445564000023296,0.8911692563912287,0.8045734787310852,0.7352196110844669,0.8948409762642202,,,False,True,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_ExtraTreesConservativeComponentClean.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesConservativeComponentClean_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesConservativeComponentClean_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesConservativeComponentClean_side.png
KitchenSinkGroundSpatialCleanup,ExtraTreesContextKNNComponentClean,148092,64,0.962860127008319,0.002996300459060985,0.8799846028761923,0.01760679723374697,8.889676599996164,1.4954829000052996,0.8938203488339158,0.8082602893910555,0.7280233953776418,0.896601961471011,0.9604862272008109,"{'k': 8, 'alpha': 0.2, 'spatial_columns': ('x', 'y', 'z'), 'spatial_scales': (1.0, 1.0, 2.0), 'distance_weights': True}",True,True,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_ExtraTreesContextKNNComponentClean.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesContextKNNComponentClean_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesContextKNNComponentClean_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesContextKNNComponentClean_side.png
KitchenSinkGroundSpatialCleanup,ExtraTreesComponentClean,148092,64,0.962860127008319,0.002996300459060985,0.8799846028761923,0.01760679723374697,8.889676599996164,1.232653399987612,0.892766709529771,0.8064638727591704,0.7266877042903573,0.8956272992291372,,,False,True,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_ExtraTreesComponentClean.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesComponentClean_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesComponentClean_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_ExtraTreesComponentClean_side.png
KitchenSinkGroundSpatialCleanup,HierarchicalExtraTreesTuned,148092,64,0.954975077021042,0.0027568312610424285,0.8904127506313905,0.021383949073996766,390.3462484000047,4.181807300003129,0.8161682650639265,0.6922717650111935,0.665847363368138,0.8270695906459075,0.9572613622975861,"(0.6, 0.4, 0.5)",False,False,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_HierarchicalExtraTreesTuned.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_HierarchicalExtraTreesTuned_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_HierarchicalExtraTreesTuned_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_HierarchicalExtraTreesTuned_side.png
KitchenSinkGroundSpatialCleanup,HierarchicalExtraTreesTunedComponentClean,148092,64,0.954975077021042,0.0027568312610424285,0.8904127506313905,0.021383949073996766,390.3462484000047,4.181807300003129,0.8024143068356266,0.6717390766841717,0.6588823828166042,0.8142503108637485,0.9572613622975861,"(0.6, 0.4, 0.5)",False,True,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_HierarchicalExtraTreesTunedComponentClean.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_HierarchicalExtraTreesTunedComponentClean_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_HierarchicalExtraTreesTunedComponentClean_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_HierarchicalExtraTreesTunedComponentClean_side.png
KitchenSinkGroundSpatialCleanup,XGBoostContextKNN,148092,64,0.9718152715146268,0.0021746613341937864,0.9069807096208611,0.020470789652038635,7.6057125000079395,0.3064019000012195,0.8222521823362469,0.6855198188578395,0.5986293977434002,0.8260417957000548,0.9755740472319288,"{'k': 8, 'alpha': 0.2, 'spatial_columns': ('x', 'y', 'z'), 'spatial_scales': (1.0, 1.0, 2.0), 'distance_weights': True}",True,False,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_XGBoostContextKNN.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_XGBoostContextKNN_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_XGBoostContextKNN_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_XGBoostContextKNN_side.png
KitchenSinkGroundSpatialCleanup,XGBoost,148092,64,0.9718152715146268,0.0021746613341937864,0.9069807096208611,0.020470789652038635,7.6057125000079395,0.16589740000199527,0.8198503379009919,0.6818817539359521,0.5955662604091775,0.8241361885586109,,,False,False,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_XGBoost.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_XGBoost_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_XGBoost_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_XGBoost_side.png
KitchenSinkGroundSpatialCleanup,RandomForest,148092,64,0.9607101617074839,0.0033103095757286726,0.8874492157918051,0.02181585510530389,25.24974120000843,0.7224836999957915,0.8637802992109035,0.7524861652552718,0.5923496040088431,0.8612035628216095,,,False,False,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_RandomForest.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_RandomForest_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_RandomForest_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_RandomForest_side.png
KitchenSinkGroundSpatialCleanup,RandomForestContextKNN,148092,64,0.9607101617074839,0.0033103095757286726,0.8874492157918051,0.02181585510530389,25.24974120000843,0.8539546999963932,0.8656893123587358,0.7555694971657665,0.591858471509466,0.8627298709800229,0.9598291092119716,"{'k': 8, 'alpha': 0.2, 'spatial_columns': ('x', 'y', 'z'), 'spatial_scales': (1.0, 1.0, 2.0), 'distance_weights': True}",True,False,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_RandomForestContextKNN.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_RandomForestContextKNN_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_RandomForestContextKNN_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_RandomForestContextKNN_side.png
KitchenSinkGroundSpatialCleanup,XGBoostContextKNNComponentClean,148092,64,0.9718152715146268,0.0021746613341937864,0.9069807096208611,0.020470789652038635,7.6057125000079395,0.3064019000012195,0.8017288748151883,0.6529568147294391,0.5889518486206392,0.8093846504727443,0.9755740472319288,"{'k': 8, 'alpha': 0.2, 'spatial_columns': ('x', 'y', 'z'), 'spatial_scales': (1.0, 1.0, 2.0), 'distance_weights': True}",True,True,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_XGBoostContextKNNComponentClean.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_XGBoostContextKNNComponentClean_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_XGBoostContextKNNComponentClean_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_XGBoostContextKNNComponentClean_side.png
KitchenSinkGroundSpatialCleanup,XGBoostComponentClean,148092,64,0.9718152715146268,0.0021746613341937864,0.9069807096208611,0.020470789652038635,7.6057125000079395,0.16589740000199527,0.7999501503985136,0.6503982862093357,0.5871337961349108,0.8079609417985381,,,False,True,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_XGBoostComponentClean.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_XGBoostComponentClean_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_XGBoostComponentClean_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_XGBoostComponentClean_side.png
KitchenSinkGroundSpatialCleanup,RandomForestContextKNNComponentClean,148092,64,0.9607101617074839,0.0033103095757286726,0.8874492157918051,0.02181585510530389,25.24974120000843,0.8539546999963932,0.8410760716248138,0.7150123945685649,0.5767274129125738,0.8427325204888843,0.9598291092119716,"{'k': 8, 'alpha': 0.2, 'spatial_columns': ('x', 'y', 'z'), 'spatial_scales': (1.0, 1.0, 2.0), 'distance_weights': True}",True,True,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_RandomForestContextKNNComponentClean.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_RandomForestContextKNNComponentClean_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_RandomForestContextKNNComponentClean_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_RandomForestContextKNNComponentClean_side.png
KitchenSinkGroundSpatialCleanup,RandomForestComponentClean,148092,64,0.9607101617074839,0.0033103095757286726,0.8874492157918051,0.02181585510530389,25.24974120000843,0.7224836999957915,0.8394333006667384,0.7125099085406739,0.5752369614907958,0.841463623201283,,,False,True,outputs_multimodel_kitchensink_learned\test_predictions\test_KitchenSink_RandomForestComponentClean.las,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_RandomForestComponentClean_confusion_matrix.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_RandomForestComponentClean_top.png,outputs_multimodel_kitchensink_learned\reports\figures\test_KitchenSink_RandomForestComponentClean_side.png
